12.5401 	EXP 	New trial (rep=0, index=10): OrderedDict([('engText', 'test'), ('Text', '증거'), ('CorrAns', 1), ('Cond', 'w')])
12.5772 	EXP 	text_show: autoDraw = False
12.5772 	EXP 	text_show: pos = array([0., 0.])
12.5772 	EXP 	text_show: text = 'test'
12.5772 	EXP 	text_show: autoDraw = True
12.6555 	EXP 	New trial (rep=0, index=11): OrderedDict([('engText', 'rest'), ('Text', '휴직'), ('CorrAns', 1), ('Cond', 'w')])
12.6823 	DATA 	Keypress: 1
12.6943 	EXP 	text_show: autoDraw = False
12.6943 	EXP 	text_show: pos = array([0., 0.])
12.6943 	EXP 	text_show: text = 'rest'
12.6943 	EXP 	text_show: autoDraw = True
12.7389 	EXP 	New trial (rep=0, index=12): OrderedDict([('engText', 'geeb'), ('Text', '둔거'), ('CorrAns', 0), ('Cond', 'nw')])
12.7667 	DATA 	Keypress: 0
12.7790 	EXP 	text_show: autoDraw = False
12.7790 	EXP 	text_show: pos = array([0., 0.])
12.7790 	EXP 	text_show: text = 'geeb'
12.7790 	EXP 	text_show: autoDraw = True
12.8548 	EXP 	New trial (rep=0, index=13): OrderedDict([('engText', 'bone'), ('Text', '탁주'), ('CorrAns', 1), ('Cond', 'w')])
12.8823 	DATA 	Keypress: 1
12.8947 	EXP 	text_show: autoDraw = False
12.8947 	EXP 	text_show: pos = array([0., 0.])
12.8947 	EXP 	text_show: text = 'bone'
12.8947 	EXP 	text_show: autoDraw = True
13.0112 	DATA 	Keypress: 0
13.0280 	EXP 	text_show: autoDraw = False
13.0280 	EXP 	bye: text = 'You are done!\n\nThank you! Bye !'
13.0280 	EXP 	bye: autoDraw = True
13.1064 	DATA 	Keypress: 1
13.2074 	DATA 	Keypress: 0
14.2065 	DATA 	Keypress: return
14.8234 	DATA 	Keypress: space
14.8453 	EXP 	bye: autoDraw = False
15.1325 	EXP 	window1: mouseVisible = True
